[2020-03-03T14:06:33.728Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.163 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:06:33.730Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 1.056 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:06:33.732Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 0.888 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:06:35.629Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/image/default.png HTTP/1.1 [status]: 200 [response-time]: 4.535 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:08:07.413Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/calender/get_calender_all HTTP/1.1 [status]: 200 [response-time]: 0.204 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:08:07.417Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/calender/get_calender_all HTTP/1.1 [status]: 304 [response-time]: 0.757 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:10.622Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/typeName/get_typeName HTTP/1.1 [status]: 200 [response-time]: 0.237 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:10.624Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/typeName/get_typeName HTTP/1.1 [status]: 304 [response-time]: 1.118 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:12.294Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 0.217 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:12.299Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.217 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:12.302Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 5.927 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:12.304Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 1.127 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:16.648Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 0.830 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:16.656Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 0.961 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
